OBJECTID,DATE,Count
1,03/18/2020 10:00:00 AM,1
2,03/19/2020 10:00:00 AM,1
3,03/20/2020 10:00:00 AM,2
4,03/21/2020 10:00:00 AM,2
5,03/22/2020 10:00:00 AM,3
6,03/23/2020 10:00:00 AM,3
7,03/24/2020 10:00:00 AM,3
8,03/25/2020 10:00:00 AM,4
9,03/26/2020 10:00:00 AM,4
10,03/27/2020 10:00:00 AM,5
11,03/28/2020 10:00:00 AM,5
12,03/29/2020 10:00:00 AM,10
13,03/30/2020 10:00:00 AM,15
14,03/31/2020 10:00:00 AM,18
15,04/01/2020 10:00:00 AM,31
16,04/02/2020 10:00:00 AM,36
17,04/03/2020 10:00:00 AM,42
18,04/04/2020 10:00:00 AM,53
19,04/05/2020 10:00:00 AM,67
20,04/06/2020 10:00:00 AM,91
21,04/07/2020 10:00:00 AM,103
22,04/08/2020 10:00:00 AM,124
23,04/09/2020 10:00:00 AM,138
24,04/10/2020 10:00:00 AM,171
25,04/11/2020 10:00:00 AM,206
26,04/12/2020 10:00:00 AM,235
27,04/13/2020 10:00:00 AM,262
28,04/14/2020 10:00:00 AM,302
29,04/15/2020 10:00:00 AM,349
30,04/16/2020 10:00:00 AM,392
31,04/17/2020 10:00:00 AM,425
32,04/18/2020 10:00:00 AM,463
33,04/19/2020 10:00:00 AM,486
34,04/20/2020 10:00:00 AM,516
35,04/21/2020 10:00:00 AM,584
36,04/22/2020 10:00:00 AM,631
37,04/23/2020 10:00:00 AM,680
38,04/24/2020 10:00:00 AM,723
39,04/25/2020 10:00:00 AM,797
40,04/26/2020 10:00:00 AM,827
41,04/27/2020 10:00:00 AM,858
42,04/28/2020 10:00:00 AM,929
43,04/29/2020 10:00:00 AM,985
44,04/30/2020 10:00:00 AM,1047
45,05/01/2020 10:00:00 AM,1098
46,05/02/2020 10:00:00 AM,1156
47,05/03/2020 10:00:00 AM,1182
48,05/04/2020 10:00:00 AM,1216
49,05/05/2020 10:00:00 AM,1290
50,05/06/2020 10:00:00 AM,1338
51,05/07/2020 10:00:00 AM,1401
52,05/08/2020 10:00:00 AM,1453
53,05/09/2020 10:00:00 AM,1510
54,05/10/2020 10:00:00 AM,1538
55,05/11/2020 10:00:00 AM,1573
56,05/12/2020 10:00:00 AM,1643
57,05/13/2020 10:00:00 AM,1694
58,05/14/2020 10:00:00 AM,1748
59,05/15/2020 10:00:00 AM,1792
60,05/16/2020 10:00:00 AM,1842
61,05/17/2020 10:00:00 AM,1876
62,05/18/2020 10:00:00 AM,1903
63,05/19/2020 10:00:00 AM,1963
64,05/20/2020 10:00:00 AM,2004
65,05/21/2020 10:00:00 AM,2045
66,05/22/2020 10:00:00 AM,2092
67,05/23/2020 10:00:00 AM,2130
68,05/24/2020 10:00:00 AM,2162
69,05/25/2020 10:00:00 AM,2187
70,05/26/2020 10:00:00 AM,2217
71,05/27/2020 10:00:00 AM,2270
72,05/28/2020 10:00:00 AM,2307
73,05/29/2020 10:00:00 AM,2348
74,05/30/2020 10:00:00 AM,2390
75,05/31/2020 10:00:00 AM,2411
76,06/01/2020 10:00:00 AM,2431
77,06/02/2020 10:00:00 AM,2474
78,06/03/2020 10:00:00 AM,2519
79,06/04/2020 10:00:00 AM,2546
80,06/05/2020 10:00:00 AM,2580
81,06/06/2020 10:00:00 AM,2616
82,06/07/2020 10:00:00 AM,2625
83,06/08/2020 10:00:00 AM,2653
84,06/09/2020 10:00:00 AM,2686
85,06/10/2020 10:00:00 AM,2719
86,06/11/2020 10:00:00 AM,2750
87,06/12/2020 10:00:00 AM,2773
88,06/13/2020 10:00:00 AM,2799
89,06/14/2020 10:00:00 AM,2811
90,06/15/2020 10:00:00 AM,2817
91,06/16/2020 10:00:00 AM,2851
92,06/17/2020 10:00:00 AM,2866
93,06/18/2020 10:00:00 AM,2886
94,06/19/2020 10:00:00 AM,2901
95,06/20/2020 10:00:00 AM,2923
96,06/21/2020 10:00:00 AM,2937
97,06/22/2020 10:00:00 AM,2945
98,06/23/2020 10:00:00 AM,2963
99,06/24/2020 10:00:00 AM,2978
100,06/25/2020 10:00:00 AM,3001
101,06/26/2020 10:00:00 AM,3015
102,06/27/2020 10:00:00 AM,3030
103,06/28/2020 10:00:00 AM,3042
104,06/29/2020 10:00:00 AM,3048
105,06/30/2020 10:00:00 AM,3062
106,07/01/2020 10:00:00 AM,3077
107,07/02/2020 10:00:00 AM,3086
108,07/03/2020 10:00:00 AM,3099
109,07/04/2020 10:00:00 AM,3111
110,07/05/2020 10:00:00 AM,3118
111,07/06/2020 10:00:00 AM,3121
112,07/07/2020 10:00:00 AM,3140
113,07/08/2020 10:00:00 AM,3149
114,07/09/2020 10:00:00 AM,3160
115,07/10/2020 10:00:00 AM,3172
116,07/11/2020 10:00:00 AM,3179
117,07/12/2020 10:00:00 AM,3188
118,07/13/2020 10:00:00 AM,3194
119,07/14/2020 10:00:00 AM,3202
120,07/15/2020 10:00:00 AM,3209
121,07/16/2020 10:00:00 AM,3215
122,07/17/2020 10:00:00 AM,3227
123,07/18/2020 10:00:00 AM,3238
124,07/19/2020 10:00:00 AM,3247
125,07/20/2020 10:00:00 AM,3252
126,07/21/2020 10:00:00 AM,3272
127,07/22/2020 10:00:00 AM,3276
128,07/23/2020 10:00:00 AM,3281
129,07/24/2020 10:00:00 AM,3293
130,07/25/2020 10:00:00 AM,3304
131,07/26/2020 10:00:00 AM,3309
132,07/27/2020 10:00:00 AM,3315
133,07/28/2020 10:00:00 AM,3327
134,07/29/2020 10:00:00 AM,3347
135,07/30/2020 10:00:00 AM,3357
136,07/31/2020 10:00:00 AM,3362
137,08/01/2020 10:00:00 AM,3374
138,08/02/2020 10:00:00 AM,3381
139,08/03/2020 10:00:00 AM,3389
140,08/04/2020 10:00:00 AM,3396
141,08/05/2020 10:00:00 AM,3402
142,08/06/2020 10:00:00 AM,3415
143,08/07/2020 10:00:00 AM,3429
144,08/08/2020 10:00:00 AM,3440
145,08/09/2020 10:00:00 AM,3448
146,08/10/2020 10:00:00 AM,3454
147,08/11/2020 10:00:00 AM,3467
148,08/12/2020 10:00:00 AM,3474
149,08/13/2020 10:00:00 AM,3483
150,08/14/2020 10:00:00 AM,3495
151,08/15/2020 10:00:00 AM,3499
152,08/16/2020 10:00:00 AM,3502
153,08/17/2020 10:00:00 AM,3504
154,08/18/2020 10:00:00 AM,3511
155,08/19/2020 10:00:00 AM,3522
156,08/20/2020 10:00:00 AM,3531
157,08/21/2020 10:00:00 AM,3536
158,08/22/2020 10:00:00 AM,3546
159,08/23/2020 10:00:00 AM,3552
160,08/24/2020 10:00:00 AM,3554
161,08/25/2020 10:00:00 AM,3564
162,08/26/2020 10:00:00 AM,3574
163,08/27/2020 10:00:00 AM,3580
164,08/28/2020 10:00:00 AM,3593
165,08/29/2020 10:00:00 AM,3603
166,08/30/2020 10:00:00 AM,3609
167,08/31/2020 10:00:00 AM,3612
168,09/01/2020 10:00:00 AM,3617
169,09/02/2020 10:00:00 AM,3623
170,09/03/2020 10:00:00 AM,3634
171,09/04/2020 10:00:00 AM,3645
172,09/05/2020 10:00:00 AM,3652
173,09/06/2020 10:00:00 AM,3655
174,09/07/2020 10:00:00 AM,3660
175,09/08/2020 10:00:00 AM,3663
176,09/09/2020 10:00:00 AM,3672
177,09/10/2020 10:00:00 AM,3679
178,09/11/2020 10:00:00 AM,3685
179,09/12/2020 10:00:00 AM,3693
180,09/13/2020 10:00:00 AM,3695
181,09/14/2020 10:00:00 AM,3696
182,09/15/2020 10:00:00 AM,3706
183,09/16/2020 10:00:00 AM,3712
184,09/17/2020 10:00:00 AM,3717
185,09/18/2020 10:00:00 AM,3724
186,09/19/2020 10:00:00 AM,3732
187,09/20/2020 10:00:00 AM,3735
188,09/21/2020 10:00:00 AM,3739
189,09/22/2020 10:00:00 AM,3748
190,09/23/2020 10:00:00 AM,3756
191,09/24/2020 10:00:00 AM,3765
192,09/25/2020 10:00:00 AM,3772
193,09/26/2020 10:00:00 AM,3780
194,09/27/2020 10:00:00 AM,3790
195,09/28/2020 10:00:00 AM,3793
196,09/29/2020 10:00:00 AM,3802
197,09/30/2020 10:00:00 AM,3805
198,10/01/2020 10:00:00 AM,3805
199,10/02/2020 10:00:00 AM,3806
200,10/03/2020 10:00:00 AM,3813
201,10/04/2020 10:00:00 AM,3814
202,10/05/2020 10:00:00 AM,3817
203,10/06/2020 10:00:00 AM,3823
204,10/07/2020 10:00:00 AM,3829
205,10/08/2020 10:00:00 AM,3835
206,10/09/2020 10:00:00 AM,3845
207,10/10/2020 10:00:00 AM,3850
208,10/11/2020 10:00:00 AM,3854
209,10/12/2020 10:00:00 AM,3859
210,10/13/2020 10:00:00 AM,3868
211,10/14/2020 10:00:00 AM,3877
212,10/15/2020 10:00:00 AM,3883
213,10/16/2020 10:00:00 AM,3887
214,10/17/2020 10:00:00 AM,3891
