VACCINATION_DATE,County,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative,SingleDoseDaily,SingleDoseCumulative,AtLeastOneDose,AtLeastOneDoseCumulative,FullyVaccinated,FullyVaccinatedCumulative
12/14/2020 10:00:00 AM,Anne Arundel,2,2,,0,,0,,2,,0
12/15/2020 10:00:00 AM,Anne Arundel,4,6,,0,,0,,6,,0
12/16/2020 10:00:00 AM,Anne Arundel,56,62,,0,,0,,62,,0
12/17/2020 10:00:00 AM,Anne Arundel,106,168,,0,,0,,168,,0
12/18/2020 10:00:00 AM,Anne Arundel,180,348,1,1,,0,,348,,1
12/19/2020 10:00:00 AM,Anne Arundel,44,392,,1,,0,,392,,1
12/20/2020 10:00:00 AM,Anne Arundel,10,402,,1,,0,,402,,1
12/21/2020 10:00:00 AM,Anne Arundel,284,686,,1,,0,,686,,1
12/22/2020 10:00:00 AM,Anne Arundel,407,1093,2,3,,0,,1093,,3
12/23/2020 10:00:00 AM,Anne Arundel,383,1476,1,4,,0,,1476,,4
12/24/2020 10:00:00 AM,Anne Arundel,244,1720,3,7,,0,,1720,,7
12/25/2020 10:00:00 AM,Anne Arundel,31,1751,1,8,,0,,1751,,8
12/26/2020 10:00:00 AM,Anne Arundel,274,2025,1,9,,0,,2025,,9
12/27/2020 10:00:00 AM,Anne Arundel,100,2125,,9,,0,,2125,,9
12/28/2020 10:00:00 AM,Anne Arundel,756,2881,3,12,,0,,2881,,12
12/29/2020 10:00:00 AM,Anne Arundel,839,3720,2,14,,0,,3720,,14
12/30/2020 10:00:00 AM,Anne Arundel,858,4578,7,21,,0,,4578,,21
12/31/2020 10:00:00 AM,Anne Arundel,578,5156,3,24,,0,,5156,,24
01/01/2021 10:00:00 AM,Anne Arundel,237,5393,9,33,,0,,5393,,33
01/02/2021 10:00:00 AM,Anne Arundel,156,5549,2,35,,0,,5549,,35
01/03/2021 10:00:00 AM,Anne Arundel,211,5760,1,36,,0,,5760,,36
01/04/2021 10:00:00 AM,Anne Arundel,1216,6976,18,54,,0,,6976,,54
01/05/2021 10:00:00 AM,Anne Arundel,913,7889,21,75,,0,,7889,,75
01/06/2021 10:00:00 AM,Anne Arundel,1275,9164,72,147,,0,,9164,,147
01/07/2021 10:00:00 AM,Anne Arundel,1457,10621,118,265,,0,,10621,,265
01/08/2021 10:00:00 AM,Anne Arundel,1703,12324,188,453,,0,,12324,,453
01/09/2021 10:00:00 AM,Anne Arundel,324,12648,53,506,,0,,12648,,506
01/10/2021 10:00:00 AM,Anne Arundel,441,13089,18,524,,0,,13089,,524
01/08/2021 10:00:00 AM,,8000,8000,,0,,0,,8000,,0
